,Seed,Distance Type,K,Accuracy
103,3,2,19,0.6521739130434783
104,3,2,21,0.6086956521739131
105,3,2,23,0.6086956521739131
106,3,2,25,0.6521739130434783
107,3,2,27,0.6521739130434783
108,3,2,29,0.6956521739130435
109,3,2,31,0.6086956521739131
110,3,2,33,0.6521739130434783
111,3,2,35,0.6956521739130435
112,4,1,9,0.391304347826087
113,4,1,11,0.34782608695652173
114,4,1,13,0.34782608695652173
115,4,1,15,0.34782608695652173
116,4,1,17,0.30434782608695654
117,4,1,19,0.34782608695652173
118,4,1,21,0.34782608695652173
119,4,1,23,0.34782608695652173
120,4,1,25,0.34782608695652173
121,4,1,27,0.34782608695652173
122,4,1,29,0.34782608695652173
123,4,1,31,0.34782608695652173
124,4,1,33,0.34782608695652173
125,4,1,35,0.34782608695652173
126,4,2,9,0.43478260869565216
127,4,2,11,0.391304347826087
128,4,2,13,0.43478260869565216
129,4,2,15,0.34782608695652173
130,4,2,17,0.43478260869565216
131,4,2,19,0.391304347826087
132,4,2,21,0.391304347826087
133,4,2,23,0.391304347826087
134,4,2,25,0.391304347826087
135,4,2,27,0.43478260869565216
136,4,2,29,0.43478260869565216
137,4,2,31,0.391304347826087
138,4,2,33,0.34782608695652173
139,4,2,35,0.34782608695652173
140,5,1,9,0.5217391304347826
141,5,1,11,0.4782608695652174
142,5,1,13,0.6086956521739131
143,5,1,15,0.6521739130434783
144,5,1,17,0.6521739130434783
145,5,1,19,0.6086956521739131
146,5,1,21,0.5652173913043478
147,5,1,23,0.6086956521739131
148,5,1,25,0.5217391304347826
149,5,1,27,0.4782608695652174
150,5,1,29,0.5217391304347826
151,5,1,31,0.5217391304347826
152,5,1,33,0.5652173913043478
153,5,1,35,0.5217391304347826
154,5,2,9,0.5217391304347826
155,5,2,11,0.4782608695652174
156,5,2,13,0.5652173913043478
157,5,2,15,0.5652173913043478
158,5,2,17,0.6086956521739131
159,5,2,19,0.5652173913043478
160,5,2,21,0.5217391304347826
161,5,2,23,0.5217391304347826
162,5,2,25,0.5217391304347826
163,5,2,27,0.5217391304347826
164,5,2,29,0.5652173913043478
165,5,2,31,0.6086956521739131
166,5,2,33,0.6086956521739131
167,5,2,35,0.4782608695652174
168,6,1,9,0.6086956521739131
169,6,1,11,0.6521739130434783
170,6,1,13,0.6521739130434783
171,6,1,15,0.6956521739130435
172,6,1,17,0.7391304347826086
173,6,1,19,0.7391304347826086
174,6,1,21,0.6521739130434783
175,6,1,23,0.6956521739130435
176,6,1,25,0.6956521739130435
177,6,1,27,0.6521739130434783
178,6,1,29,0.6956521739130435
179,6,1,31,0.6521739130434783
180,6,1,33,0.6086956521739131
181,6,1,35,0.5652173913043478
182,6,2,9,0.6956521739130435
183,6,2,11,0.6521739130434783
184,6,2,13,0.6086956521739131
185,6,2,15,0.6086956521739131
186,6,2,17,0.6086956521739131
187,6,2,19,0.6086956521739131
188,6,2,21,0.5652173913043478
189,6,2,23,0.5652173913043478
190,6,2,25,0.5652173913043478
191,6,2,27,0.6086956521739131
192,6,2,29,0.6086956521739131
193,6,2,31,0.5652173913043478
194,6,2,33,0.5652173913043478
195,6,2,35,0.6086956521739131
196,7,1,9,0.6086956521739131
197,7,1,11,0.6086956521739131
198,7,1,13,0.5652173913043478
199,7,1,15,0.4782608695652174
200,7,1,17,0.5652173913043478
201,7,1,19,0.5652173913043478
202,7,1,21,0.6086956521739131
203,7,1,23,0.6086956521739131
204,7,1,25,0.5652173913043478
205,7,1,27,0.6086956521739131
206,7,1,29,0.5652173913043478
207,7,1,31,0.6086956521739131
208,7,1,33,0.6086956521739131
209,7,1,35,0.5217391304347826
210,7,2,9,0.6956521739130435
211,7,2,11,0.6956521739130435
212,7,2,13,0.7391304347826086
213,7,2,15,0.6956521739130435
214,7,2,17,0.7391304347826086
215,7,2,19,0.6956521739130435
216,7,2,21,0.6956521739130435
217,7,2,23,0.7391304347826086
218,7,2,25,0.782608695652174
219,7,2,27,0.8260869565217391
220,7,2,29,0.8260869565217391
221,7,2,31,0.7391304347826086
222,7,2,33,0.6956521739130435
223,7,2,35,0.6956521739130435
224,8,1,9,0.391304347826087
225,8,1,11,0.43478260869565216
226,8,1,13,0.43478260869565216
227,8,1,15,0.43478260869565216
228,8,1,17,0.5652173913043478
229,8,1,19,0.6086956521739131
230,8,1,21,0.43478260869565216
231,8,1,23,0.4782608695652174
232,8,1,25,0.4782608695652174
233,8,1,27,0.43478260869565216
234,8,1,29,0.43478260869565216
235,8,1,31,0.43478260869565216
236,8,1,33,0.5217391304347826
237,8,1,35,0.5652173913043478
238,8,2,9,0.5217391304347826
239,8,2,11,0.5217391304347826
240,8,2,13,0.5217391304347826
241,8,2,15,0.5652173913043478
242,8,2,17,0.5217391304347826
243,8,2,19,0.43478260869565216
244,8,2,21,0.5217391304347826
245,8,2,23,0.43478260869565216
246,8,2,25,0.5217391304347826
247,8,2,27,0.4782608695652174
248,8,2,29,0.6086956521739131
249,8,2,31,0.6086956521739131
250,8,2,33,0.6521739130434783
251,8,2,35,0.5652173913043478
252,9,1,9,0.6086956521739131
253,9,1,11,0.5217391304347826
254,9,1,13,0.6086956521739131
255,9,1,15,0.4782608695652174
256,9,1,17,0.5652173913043478
257,9,1,19,0.5217391304347826
258,9,1,21,0.5652173913043478
259,9,1,23,0.5217391304347826
260,9,1,25,0.5652173913043478
261,9,1,27,0.5652173913043478
262,9,1,29,0.6086956521739131
263,9,1,31,0.6086956521739131
264,9,1,33,0.5652173913043478
265,9,1,35,0.5217391304347826
266,9,2,9,0.5217391304347826
267,9,2,11,0.5217391304347826
268,9,2,13,0.5217391304347826
269,9,2,15,0.5217391304347826
270,9,2,17,0.5217391304347826
271,9,2,19,0.5652173913043478
272,9,2,21,0.5652173913043478
273,9,2,23,0.6521739130434783
274,9,2,25,0.6086956521739131
275,9,2,27,0.6086956521739131
276,9,2,29,0.5652173913043478
277,9,2,31,0.6086956521739131
278,9,2,33,0.6521739130434783
279,9,2,35,0.6521739130434783
