,Seed,Distance Type,K,Accuracy
0,0,1,9,0.6521739130434783
1,0,1,11,0.6521739130434783
2,0,1,13,0.7391304347826086
3,0,1,15,0.782608695652174
4,0,1,17,0.782608695652174
5,0,1,19,0.782608695652174
6,0,1,21,0.782608695652174
7,0,1,23,0.782608695652174
8,0,1,25,0.7391304347826086
9,0,1,27,0.7391304347826086
10,0,1,29,0.782608695652174
11,0,1,31,0.7391304347826086
12,0,1,33,0.6521739130434783
13,0,1,35,0.7391304347826086
14,0,2,9,0.6086956521739131
15,0,2,11,0.6521739130434783
16,0,2,13,0.5652173913043478
17,0,2,15,0.6521739130434783
18,0,2,17,0.6521739130434783
19,0,2,19,0.6521739130434783
20,0,2,21,0.6521739130434783
21,0,2,23,0.5217391304347826
22,0,2,25,0.6956521739130435
23,0,2,27,0.7391304347826086
24,0,2,29,0.6956521739130435
25,0,2,31,0.6956521739130435
26,0,2,33,0.6956521739130435
27,0,2,35,0.6521739130434783
28,1,1,9,0.2608695652173913
29,1,1,11,0.391304347826087
30,1,1,13,0.2608695652173913
31,1,1,15,0.34782608695652173
32,1,1,17,0.43478260869565216
33,1,1,19,0.391304347826087
34,1,1,21,0.391304347826087
35,1,1,23,0.391304347826087
36,1,1,25,0.34782608695652173
37,1,1,27,0.391304347826087
38,1,1,29,0.391304347826087
39,1,1,31,0.43478260869565216
40,1,1,33,0.43478260869565216
41,1,1,35,0.391304347826087
42,1,2,9,0.5217391304347826
43,1,2,11,0.43478260869565216
44,1,2,13,0.391304347826087
45,1,2,15,0.4782608695652174
46,1,2,17,0.5652173913043478
47,1,2,19,0.4782608695652174
48,1,2,21,0.4782608695652174
49,1,2,23,0.5217391304347826
50,1,2,25,0.6086956521739131
51,1,2,27,0.6521739130434783
52,1,2,29,0.6521739130434783
53,1,2,31,0.6521739130434783
54,1,2,33,0.6521739130434783
55,1,2,35,0.6086956521739131
56,2,1,9,0.5217391304347826
57,2,1,11,0.43478260869565216
58,2,1,13,0.43478260869565216
59,2,1,15,0.5652173913043478
60,2,1,17,0.43478260869565216
61,2,1,19,0.43478260869565216
62,2,1,21,0.5217391304347826
63,2,1,23,0.6086956521739131
64,2,1,25,0.5217391304347826
65,2,1,27,0.6086956521739131
66,2,1,29,0.6086956521739131
67,2,1,31,0.6521739130434783
68,2,1,33,0.6521739130434783
69,2,1,35,0.5652173913043478
70,2,2,9,0.5652173913043478
71,2,2,11,0.5652173913043478
72,2,2,13,0.5652173913043478
73,2,2,15,0.43478260869565216
74,2,2,17,0.5217391304347826
75,2,2,19,0.5652173913043478
76,2,2,21,0.5217391304347826
77,2,2,23,0.5217391304347826
78,2,2,25,0.6521739130434783
79,2,2,27,0.6521739130434783
80,2,2,29,0.6956521739130435
81,2,2,31,0.6956521739130435
82,2,2,33,0.7391304347826086
83,2,2,35,0.6086956521739131
84,3,1,9,0.5652173913043478
85,3,1,11,0.4782608695652174
86,3,1,13,0.4782608695652174
87,3,1,15,0.4782608695652174
88,3,1,17,0.4782608695652174
89,3,1,19,0.4782608695652174
90,3,1,21,0.5652173913043478
91,3,1,23,0.5217391304347826
92,3,1,25,0.4782608695652174
93,3,1,27,0.4782608695652174
94,3,1,29,0.4782608695652174
95,3,1,31,0.4782608695652174
96,3,1,33,0.5217391304347826
97,3,1,35,0.6521739130434783
98,3,2,9,0.6086956521739131
99,3,2,11,0.6956521739130435
100,3,2,13,0.6521739130434783
101,3,2,15,0.6956521739130435
102,3,2,17,0.6956521739130435
103,3,2,19,0.6956521739130435
104,3,2,21,0.6086956521739131
105,3,2,23,0.6086956521739131
106,3,2,25,0.6086956521739131
107,3,2,27,0.6521739130434783
108,3,2,29,0.6521739130434783
109,3,2,31,0.6086956521739131
110,3,2,33,0.5652173913043478
111,3,2,35,0.6521739130434783
112,4,1,9,0.34782608695652173
113,4,1,11,0.30434782608695654
114,4,1,13,0.391304347826087
115,4,1,15,0.391304347826087
116,4,1,17,0.34782608695652173
117,4,1,19,0.391304347826087
118,4,1,21,0.34782608695652173
