,Seed,Distance Type,K,Accuracy
0,0,1,9,0.6086956521739131
1,0,1,11,0.6086956521739131
2,0,1,13,0.6521739130434783
3,0,1,15,0.6521739130434783
4,0,1,17,0.6521739130434783
5,0,1,19,0.6956521739130435
6,0,1,21,0.7391304347826086
7,0,1,23,0.782608695652174
8,0,1,25,0.782608695652174
9,0,1,27,0.7391304347826086
10,0,1,29,0.6956521739130435
11,0,1,31,0.782608695652174
12,0,1,33,0.8695652173913043
13,0,1,35,0.5652173913043478
14,0,2,9,0.6956521739130435
15,0,2,11,0.6521739130434783
16,0,2,13,0.4782608695652174
17,0,2,15,0.4782608695652174
18,0,2,17,0.5217391304347826
19,0,2,19,0.6086956521739131
20,0,2,21,0.6086956521739131
21,0,2,23,0.5652173913043478
22,0,2,25,0.6521739130434783
23,0,2,27,0.6521739130434783
24,0,2,29,0.6521739130434783
25,0,2,31,0.6521739130434783
26,0,2,33,0.7391304347826086
27,0,2,35,0.6956521739130435
28,1,1,9,0.391304347826087
29,1,1,11,0.34782608695652173
30,1,1,13,0.34782608695652173
31,1,1,15,0.30434782608695654
32,1,1,17,0.30434782608695654
33,1,1,19,0.43478260869565216
34,1,1,21,0.43478260869565216
35,1,1,23,0.34782608695652173
36,1,1,25,0.2608695652173913
37,1,1,27,0.2608695652173913
38,1,1,29,0.30434782608695654
39,1,1,31,0.34782608695652173
40,1,1,33,0.34782608695652173
41,1,1,35,0.34782608695652173
42,1,2,9,0.4782608695652174
43,1,2,11,0.5652173913043478
44,1,2,13,0.43478260869565216
45,1,2,15,0.4782608695652174
46,1,2,17,0.5217391304347826
47,1,2,19,0.4782608695652174
48,1,2,21,0.5217391304347826
49,1,2,23,0.5217391304347826
50,1,2,25,0.5217391304347826
51,1,2,27,0.5652173913043478
52,1,2,29,0.6521739130434783
53,1,2,31,0.6521739130434783
54,1,2,33,0.6086956521739131
55,1,2,35,0.6086956521739131
56,2,1,9,0.391304347826087
57,2,1,11,0.4782608695652174
58,2,1,13,0.5652173913043478
59,2,1,15,0.6521739130434783
60,2,1,17,0.5652173913043478
61,2,1,19,0.6086956521739131
62,2,1,21,0.5652173913043478
63,2,1,23,0.43478260869565216
64,2,1,25,0.5652173913043478
65,2,1,27,0.4782608695652174
66,2,1,29,0.4782608695652174
67,2,1,31,0.4782608695652174
68,2,1,33,0.4782608695652174
69,2,1,35,0.43478260869565216
70,2,2,9,0.4782608695652174
71,2,2,11,0.43478260869565216
72,2,2,13,0.4782608695652174
73,2,2,15,0.4782608695652174
74,2,2,17,0.5217391304347826
75,2,2,19,0.4782608695652174
76,2,2,21,0.4782608695652174
77,2,2,23,0.5652173913043478
78,2,2,25,0.6086956521739131
79,2,2,27,0.6086956521739131
80,2,2,29,0.6956521739130435
81,2,2,31,0.6956521739130435
82,2,2,33,0.6086956521739131
83,2,2,35,0.6086956521739131
84,3,1,9,0.6956521739130435
85,3,1,11,0.6956521739130435
86,3,1,13,0.5652173913043478
87,3,1,15,0.6086956521739131
88,3,1,17,0.5652173913043478
89,3,1,19,0.4782608695652174
90,3,1,21,0.5217391304347826
91,3,1,23,0.5217391304347826
92,3,1,25,0.5652173913043478
93,3,1,27,0.5217391304347826
94,3,1,29,0.4782608695652174
95,3,1,31,0.5217391304347826
96,3,1,33,0.391304347826087
97,3,1,35,0.391304347826087
98,3,2,9,0.6086956521739131
99,3,2,11,0.6521739130434783
100,3,2,13,0.6521739130434783
101,3,2,15,0.6521739130434783
102,3,2,17,0.6521739130434783
103,3,2,19,0.6086956521739131
104,3,2,21,0.5652173913043478
105,3,2,23,0.6521739130434783
106,3,2,25,0.6521739130434783
107,3,2,27,0.6521739130434783
108,3,2,29,0.6521739130434783
109,3,2,31,0.6521739130434783
110,3,2,33,0.6086956521739131
111,3,2,35,0.6086956521739131
112,4,1,9,0.391304347826087
113,4,1,11,0.391304347826087
114,4,1,13,0.43478260869565216
115,4,1,15,0.391304347826087
116,4,1,17,0.30434782608695654
117,4,1,19,0.30434782608695654
118,4,1,21,0.30434782608695654
119,4,1,23,0.34782608695652173
120,4,1,25,0.34782608695652173
121,4,1,27,0.34782608695652173
122,4,1,29,0.34782608695652173
123,4,1,31,0.391304347826087
124,4,1,33,0.34782608695652173
125,4,1,35,0.34782608695652173
126,4,2,9,0.43478260869565216
127,4,2,11,0.34782608695652173
128,4,2,13,0.34782608695652173
129,4,2,15,0.43478260869565216
130,4,2,17,0.391304347826087
131,4,2,19,0.391304347826087
132,4,2,21,0.34782608695652173
133,4,2,23,0.391304347826087
134,4,2,25,0.391304347826087
135,4,2,27,0.43478260869565216
136,4,2,29,0.43478260869565216
137,4,2,31,0.4782608695652174
138,4,2,33,0.43478260869565216
139,4,2,35,0.391304347826087
140,5,1,9,0.5652173913043478
141,5,1,11,0.6956521739130435
142,5,1,13,0.6956521739130435
143,5,1,15,0.6956521739130435
144,5,1,17,0.5652173913043478
145,5,1,19,0.5652173913043478
146,5,1,21,0.5652173913043478
147,5,1,23,0.5652173913043478
148,5,1,25,0.5217391304347826
149,5,1,27,0.5652173913043478
150,5,1,29,0.5217391304347826
151,5,1,31,0.5652173913043478
152,5,1,33,0.6086956521739131
153,5,1,35,0.5652173913043478
154,5,2,9,0.4782608695652174
155,5,2,11,0.5217391304347826
156,5,2,13,0.5652173913043478
157,5,2,15,0.6521739130434783
158,5,2,17,0.6521739130434783
159,5,2,19,0.6086956521739131
160,5,2,21,0.5217391304347826
161,5,2,23,0.5652173913043478
162,5,2,25,0.5652173913043478
163,5,2,27,0.6086956521739131
164,5,2,29,0.6086956521739131
165,5,2,31,0.5652173913043478
166,5,2,33,0.5652173913043478
167,5,2,35,0.5652173913043478
168,6,1,9,0.6086956521739131
169,6,1,11,0.6956521739130435
170,6,1,13,0.7391304347826086
171,6,1,15,0.7391304347826086
172,6,1,17,0.6956521739130435
173,6,1,19,0.6956521739130435
174,6,1,21,0.6956521739130435
175,6,1,23,0.6956521739130435
176,6,1,25,0.6956521739130435
177,6,1,27,0.6956521739130435
178,6,1,29,0.6956521739130435
179,6,1,31,0.5217391304347826
180,6,1,33,0.6521739130434783
181,6,1,35,0.5652173913043478
182,6,2,9,0.6521739130434783
183,6,2,11,0.6521739130434783
184,6,2,13,0.6086956521739131
185,6,2,15,0.6086956521739131
186,6,2,17,0.6521739130434783
187,6,2,19,0.5652173913043478
188,6,2,21,0.5652173913043478
189,6,2,23,0.4782608695652174
190,6,2,25,0.5217391304347826
191,6,2,27,0.4782608695652174
192,6,2,29,0.5652173913043478
193,6,2,31,0.6086956521739131
194,6,2,33,0.6086956521739131
195,6,2,35,0.6086956521739131
196,7,1,9,0.782608695652174
197,7,1,11,0.782608695652174
198,7,1,13,0.7391304347826086
199,7,1,15,0.6956521739130435
200,7,1,17,0.6956521739130435
201,7,1,19,0.6956521739130435
202,7,1,21,0.6521739130434783
203,7,1,23,0.6521739130434783
204,7,1,25,0.6956521739130435
205,7,1,27,0.6521739130434783
206,7,1,29,0.5652173913043478
207,7,1,31,0.6521739130434783
208,7,1,33,0.6086956521739131
209,7,1,35,0.5217391304347826
210,7,2,9,0.6521739130434783
211,7,2,11,0.6521739130434783
212,7,2,13,0.6956521739130435
213,7,2,15,0.6521739130434783
214,7,2,17,0.6521739130434783
215,7,2,19,0.6956521739130435
216,7,2,21,0.7391304347826086
217,7,2,23,0.6956521739130435
218,7,2,25,0.7391304347826086
219,7,2,27,0.7391304347826086
220,7,2,29,0.782608695652174
221,7,2,31,0.6956521739130435
222,7,2,33,0.6956521739130435
223,7,2,35,0.7391304347826086
224,8,1,9,0.391304347826087
225,8,1,11,0.391304347826087
226,8,1,13,0.34782608695652173
227,8,1,15,0.5217391304347826
228,8,1,17,0.5652173913043478
229,8,1,19,0.5217391304347826
230,8,1,21,0.5217391304347826
231,8,1,23,0.4782608695652174
232,8,1,25,0.5217391304347826
233,8,1,27,0.4782608695652174
234,8,1,29,0.5217391304347826
235,8,1,31,0.5652173913043478
236,8,1,33,0.5652173913043478
237,8,1,35,0.6521739130434783
238,8,2,9,0.43478260869565216
239,8,2,11,0.5217391304347826
240,8,2,13,0.5217391304347826
241,8,2,15,0.5217391304347826
242,8,2,17,0.6086956521739131
243,8,2,19,0.5652173913043478
244,8,2,21,0.5217391304347826
245,8,2,23,0.5217391304347826
246,8,2,25,0.5217391304347826
247,8,2,27,0.5652173913043478
248,8,2,29,0.4782608695652174
249,8,2,31,0.4782608695652174
250,8,2,33,0.6521739130434783
251,8,2,35,0.6086956521739131
252,9,1,9,0.6086956521739131
253,9,1,11,0.6956521739130435
254,9,1,13,0.6956521739130435
255,9,1,15,0.6086956521739131
256,9,1,17,0.6086956521739131
257,9,1,19,0.6521739130434783
258,9,1,21,0.43478260869565216
259,9,1,23,0.5652173913043478
260,9,1,25,0.4782608695652174
261,9,1,27,0.6521739130434783
262,9,1,29,0.6521739130434783
263,9,1,31,0.6086956521739131
264,9,1,33,0.6086956521739131
265,9,1,35,0.6521739130434783
266,9,2,9,0.4782608695652174
267,9,2,11,0.43478260869565216
268,9,2,13,0.5217391304347826
269,9,2,15,0.5652173913043478
270,9,2,17,0.5217391304347826
271,9,2,19,0.4782608695652174
272,9,2,21,0.5217391304347826
273,9,2,23,0.5217391304347826
274,9,2,25,0.5652173913043478
275,9,2,27,0.6086956521739131
276,9,2,29,0.6086956521739131
277,9,2,31,0.5652173913043478
278,9,2,33,0.6086956521739131
279,9,2,35,0.6086956521739131
