,Seed,Distance Type,K,Accuracy
0,0,1,9,0.9110299487695018
1,0,1,11,0.9146803922660601
2,0,1,13,0.9210130071009306
3,0,1,15,0.9197215973934292
4,0,1,17,0.9195397942878983
5,0,1,19,0.9186277986779647
6,0,1,21,0.9196114286224649
7,0,1,23,0.9193389488288576
8,0,1,25,0.9187954198971866
9,0,1,27,0.9188685272917101
10,0,1,29,0.9180512221240401
11,0,1,31,0.9175924103345627
12,0,1,33,0.918349629419746
13,0,1,35,0.9194939272387528
14,0,2,9,0.9144064407120726
15,0,2,11,0.9117255349149148
16,0,2,13,0.9145648261619613
17,0,2,15,0.91837980207313
18,0,2,17,0.9191980949791633
19,0,2,19,0.918337092582688
20,0,2,21,0.9194459982005868
21,0,2,23,0.9192175364675833
22,0,2,25,0.9176027902765489
23,0,2,27,0.9152496871842021
24,0,2,29,0.915477817315098
25,0,2,31,0.9157879586020232
26,0,2,33,0.9159377140544431
27,0,2,35,0.9164307441380829
28,1,1,9,0.9176439658696339
29,1,1,11,0.9220097256885214
30,1,1,13,0.9225955063192038
31,1,1,15,0.9251737285717241
32,1,1,17,0.9264306731329391
33,1,1,19,0.9257807396869445
34,1,1,21,0.9272044157422136
35,1,1,23,0.9256836962343983
36,1,1,25,0.9267423377444773
37,1,1,27,0.9267825362904875
38,1,1,29,0.9272033989411714
39,1,1,31,0.9267969138786636
40,1,1,33,0.9263967720073477
41,1,1,35,0.9273919079359001
42,1,2,9,0.9095628963673172
43,1,2,11,0.9142553516078028
44,1,2,13,0.9180787348385173
45,1,2,15,0.9178622898506331
46,1,2,17,0.917981857584153
47,1,2,19,0.9199739736974556
48,1,2,21,0.9204199460209211
49,1,2,23,0.9192409985000513
50,1,2,25,0.9195971854742403
51,1,2,27,0.9204775071550414
52,1,2,29,0.9220678262810132
53,1,2,31,0.9214866888647822
54,1,2,33,0.9205614981868395
55,1,2,35,0.9224103542547887
56,2,1,9,0.9461468309941773
57,2,1,11,0.943607741030857
58,2,1,13,0.9443454168077889
59,2,1,15,0.9416408837775656
60,2,1,17,0.9407997148097064
61,2,1,19,0.9415136515559573
62,2,1,21,0.9412223610505677
63,2,1,23,0.9410160358030365
64,2,1,25,0.9423625512627487
65,2,1,27,0.9424833166205994
66,2,1,29,0.9415796643237427
67,2,1,31,0.9395334430654181
68,2,1,33,0.9405284908415235
69,2,1,35,0.9405991746558392
70,2,2,9,0.9430751612110434
71,2,2,11,0.9447627423780126
72,2,2,13,0.9467028622564729
73,2,2,15,0.9438630455601968
74,2,2,17,0.9448503704690319
75,2,2,19,0.9423153391144055
76,2,2,21,0.9416985137872025
77,2,2,23,0.9405789282467943
78,2,2,25,0.9413991495884949
79,2,2,27,0.9414709143659235
80,2,2,29,0.941233989321342
81,2,2,31,0.9416592223164663
82,2,2,33,0.941152338855577
83,2,2,35,0.9404592291338644
84,3,1,9,0.8942941398151669
85,3,1,11,0.8930948321110421
86,3,1,13,0.8955516148273976
87,3,1,15,0.8938350654675405
88,3,1,17,0.8923612055304342
89,3,1,19,0.8936477357739254
90,3,1,21,0.8919628866734254
91,3,1,23,0.8913177111584543
92,3,1,25,0.890596660387871
93,3,1,27,0.8913018116421781
94,3,1,29,0.8916736102234483
95,3,1,31,0.892863001377667
96,3,1,33,0.8947439092906115
97,3,1,35,0.8942465455041532
98,3,2,9,0.8957085269300833
99,3,2,11,0.8952804061396975
100,3,2,13,0.8985025790513369
101,3,2,15,0.8947866963006791
102,3,2,17,0.8961363223575056
103,3,2,19,0.8980393310303324
104,3,2,21,0.8968296407800749
105,3,2,23,0.8980617039752147
106,3,2,25,0.8985851737396512
107,3,2,27,0.898155315475021
108,3,2,29,0.8984821396470144
109,3,2,31,0.8988153405491749
110,3,2,33,0.8988616737947877
111,3,2,35,0.8989753057656792
112,4,1,9,0.9249416683710614
113,4,1,11,0.9284893838630496
114,4,1,13,0.9296785029850155
115,4,1,15,0.9284765690129554
116,4,1,17,0.9299331363095232
117,4,1,19,0.9291895839043427
118,4,1,21,0.9273576490431386
119,4,1,23,0.9291138750718612
120,4,1,25,0.9287164890682535
121,4,1,27,0.9310029737703672
122,4,1,29,0.9308527502306151
123,4,1,31,0.9311840742924906
124,4,1,33,0.930661953526127
125,4,1,35,0.9303778519381884
126,4,2,9,0.9256652390480605
127,4,2,11,0.9302121946481666
128,4,2,13,0.9348301528410644
129,4,2,15,0.9337907266837706
130,4,2,17,0.9337333970505269
131,4,2,19,0.9309470596859424
132,4,2,21,0.9312613998837486
133,4,2,23,0.9290289334130363
134,4,2,25,0.9265558867817766
135,4,2,27,0.9278597126503635
136,4,2,29,0.9277904105151127
137,4,2,31,0.9273270058121862
138,4,2,33,0.9260870234623175
139,4,2,35,0.9268121692071866
140,5,1,9,0.913564897401553
141,5,1,11,0.9140319574101103
142,5,1,13,0.9100880981662888
143,5,1,15,0.9134498202170558
144,5,1,17,0.9144283692789253
145,5,1,19,0.9152984517924615
146,5,1,21,0.9136340467929097
147,5,1,23,0.9127668799124132
148,5,1,25,0.9133595340707599
149,5,1,27,0.9132696752026186
150,5,1,29,0.9128342190563102
151,5,1,31,0.9119446611022244
152,5,1,33,0.9126290582512778
153,5,1,35,0.9127817678220377
154,5,2,9,0.9213479447890461
155,5,2,11,0.9209461791829218
156,5,2,13,0.918509692220342
157,5,2,15,0.9163905284954181
158,5,2,17,0.9145553313663548
159,5,2,19,0.916673231152077
160,5,2,21,0.916876994568535
161,5,2,23,0.9158652650701349
162,5,2,25,0.9164028565850625
163,5,2,27,0.9155342498597664
164,5,2,29,0.9149591956541486
165,5,2,31,0.9144878896929431
166,5,2,33,0.9133603646047087
167,5,2,35,0.915175303168663
168,6,1,9,0.918206743376735
169,6,1,11,0.918593293587751
170,6,1,13,0.9209450713928398
171,6,1,15,0.9204077440574993
172,6,1,17,0.918724805629747
