,Seed,Distance Type,K,Accuracy
0,0,1,9,0.8816201098250158
1,0,1,11,0.879127088638986
2,0,1,13,0.8811451081173083
3,0,1,15,0.8786962302345216
4,0,1,17,0.8807020565922266
5,0,1,19,0.8800804015234733
6,0,1,21,0.8793503952055134
7,0,1,23,0.879807203520695
8,0,1,25,0.8807478390942779
9,0,1,27,0.8802089735226978
10,0,1,29,0.8778659911281084
11,0,1,31,0.8795966830201697
12,0,1,33,0.8795090657864565
13,0,1,35,0.8810342405578635
14,0,2,9,0.8846907401139272
15,0,2,11,0.8862807651868083
16,0,2,13,0.8844714836946229
17,0,2,15,0.8857196853921212
18,0,2,17,0.8846071965692854
19,0,2,19,0.8824046675406975
20,0,2,21,0.8820254313665964
21,0,2,23,0.8797758873260311
22,0,2,25,0.8784829998161673
23,0,2,27,0.8781967949542938
24,0,2,29,0.8790124185959032
25,0,2,31,0.8814276829838399
26,0,2,33,0.8808505195386513
27,0,2,35,0.8808447145660878
28,1,1,9,0.8993197598141126
29,1,1,11,0.9011390744660567
30,1,1,13,0.9002855102189805
31,1,1,15,0.9059181072915983
32,1,1,17,0.9060660701035627
33,1,1,19,0.9056876500649496
34,1,1,21,0.9055238845186452
35,1,1,23,0.9027649192393782
36,1,1,25,0.9059445280927093
37,1,1,27,0.906457009974631
38,1,1,29,0.9087003567294281
39,1,1,31,0.9081504612437604
40,1,1,33,0.9084526625424536
41,1,1,35,0.9069379259570988
42,1,2,9,0.9125077858715712
43,1,2,11,0.9110406599171251
44,1,2,13,0.9058552949678189
45,1,2,15,0.9020594876664679
46,1,2,17,0.9011732703114887
47,1,2,19,0.9050045399103912
48,1,2,21,0.9064921686941917
49,1,2,23,0.9063472480497257
50,1,2,25,0.9059984026430434
51,1,2,27,0.9057425091975798
52,1,2,29,0.9074862559460521
53,1,2,31,0.9054294953488852
54,1,2,33,0.9078448388959319
55,1,2,35,0.9072532353959291
56,2,1,9,0.8941978394341686
57,2,1,11,0.8926813611179093
58,2,1,13,0.8960338728818181
59,2,1,15,0.8943509494857621
60,2,1,17,0.8974313366563971
61,2,1,19,0.8983943129013123
62,2,1,21,0.898352054981615
63,2,1,23,0.9002267477916753
64,2,1,25,0.9003369833682633
65,2,1,27,0.9003872798676273
