,Seed,Distance Type,K,Accuracy
0,0,1,9,0.8756500950372336
1,0,1,11,0.8772876684924718
2,0,1,13,0.8791118376874031
3,0,1,15,0.8829514765262418
4,0,1,17,0.8800997482424763
5,0,1,19,0.8817285441007674
6,0,1,21,0.8799683814173543
7,0,1,23,0.8817229401018978
8,0,1,25,0.8804044775497198
9,0,1,27,0.881124720392205
10,0,1,29,0.8812451546237972
11,0,1,31,0.8822324779656863
12,0,1,33,0.8814422246490704
13,0,1,35,0.8830500695282677
14,0,2,9,0.8822521124635031
15,0,2,11,0.8818443147880398
16,0,2,13,0.8819359158441367
17,0,2,15,0.8826379902935312
18,0,2,17,0.8815480070917703
19,0,2,19,0.8819188379493007
20,0,2,21,0.8814157818448216
21,0,2,23,0.8815041240011977
22,0,2,25,0.8822259251771406
23,0,2,27,0.8810594133144872
24,0,2,29,0.8822220424434748
25,0,2,31,0.8815769974096163
26,0,2,33,0.881712296218011
27,0,2,35,0.8824549688345568
28,1,1,9,0.9116723995132141
29,1,1,11,0.9137184895449976
30,1,1,13,0.9115490138308842
31,1,1,15,0.9107770159058058
32,1,1,17,0.9074275136287251
33,1,1,19,0.906362603526774
34,1,1,21,0.9060832098990302
35,1,1,23,0.9050653378100787
36,1,1,25,0.9053784768998194
37,1,1,27,0.9064060436051949
38,1,1,29,0.9065299243494979
39,1,1,31,0.9062772636661707
40,1,1,33,0.9074635309596727
41,1,1,35,0.9091875597604131
42,1,2,9,0.9076593004248568
43,1,2,11,0.9044653354371117
44,1,2,13,0.9067754509196247
45,1,2,15,0.9045150738743332
46,1,2,17,0.9063896351838999
47,1,2,19,0.9102401952937796
48,1,2,21,0.9102229931989684
49,1,2,23,0.9109839691789015
50,1,2,25,0.911611904387923
51,1,2,27,0.909923559736354
52,1,2,29,0.9083733383951386
53,1,2,31,0.9093035600243534
54,1,2,33,0.9093054798315907
55,1,2,35,0.9089710062859553
56,2,1,9,0.89694479594224
57,2,1,11,0.8978995574729275
58,2,1,13,0.8963936262136624
59,2,1,15,0.8986642596847076
60,2,1,17,0.9015204962552736
61,2,1,19,0.9007451424332562
62,2,1,21,0.8997391845447401
63,2,1,23,0.8998766203603682
64,2,1,25,0.8988806099730016
65,2,1,27,0.8997577878290816
66,2,1,29,0.9019669940026234
67,2,1,31,0.9028524447779616
68,2,1,33,0.9038571176182362
69,2,1,35,0.9061520100216943
70,2,2,9,0.8989782174439427
71,2,2,11,0.899252218817187
72,2,2,13,0.9004892283540511
73,2,2,15,0.8997719104877322
74,2,2,17,0.8975496914292055
75,2,2,19,0.8974446048896091
76,2,2,21,0.8989098830201848
77,2,2,23,0.8974085251209477
78,2,2,25,0.897767794318275
79,2,2,27,0.8974269846429678
