,Seed,Distance Type,K,Accuracy
196,7,1,9,0.6521739130434783
197,7,1,11,0.6521739130434783
198,7,1,13,0.6521739130434783
199,7,1,15,0.6086956521739131
200,7,1,17,0.6956521739130435
201,7,1,19,0.6521739130434783
202,7,1,21,0.6086956521739131
203,7,1,23,0.7391304347826086
204,7,1,25,0.6956521739130435
205,7,1,27,0.6521739130434783
206,7,1,29,0.6086956521739131
207,7,1,31,0.6086956521739131
208,7,1,33,0.6521739130434783
209,7,1,35,0.6956521739130435
210,7,2,9,0.6956521739130435
211,7,2,11,0.6521739130434783
212,7,2,13,0.6521739130434783
213,7,2,15,0.6086956521739131
214,7,2,17,0.6956521739130435
215,7,2,19,0.6521739130434783
216,7,2,21,0.6521739130434783
217,7,2,23,0.6521739130434783
218,7,2,25,0.6521739130434783
219,7,2,27,0.6521739130434783
220,7,2,29,0.6521739130434783
221,7,2,31,0.6521739130434783
222,7,2,33,0.6086956521739131
223,7,2,35,0.6521739130434783
224,8,1,9,0.6956521739130435
225,8,1,11,0.6086956521739131
226,8,1,13,0.5652173913043478
227,8,1,15,0.6086956521739131
228,8,1,17,0.6521739130434783
229,8,1,19,0.6521739130434783
230,8,1,21,0.6086956521739131
231,8,1,23,0.5652173913043478
232,8,1,25,0.6086956521739131
233,8,1,27,0.6521739130434783
234,8,1,29,0.6521739130434783
235,8,1,31,0.6956521739130435
236,8,1,33,0.6956521739130435
237,8,1,35,0.6521739130434783
238,8,2,9,0.6521739130434783
239,8,2,11,0.6956521739130435
240,8,2,13,0.6086956521739131
241,8,2,15,0.6956521739130435
242,8,2,17,0.7391304347826086
243,8,2,19,0.782608695652174
244,8,2,21,0.7391304347826086
245,8,2,23,0.6521739130434783
246,8,2,25,0.6086956521739131
247,8,2,27,0.5652173913043478
248,8,2,29,0.5652173913043478
249,8,2,31,0.4782608695652174
250,8,2,33,0.5652173913043478
251,8,2,35,0.5217391304347826
252,9,1,9,0.5217391304347826
253,9,1,11,0.5217391304347826
254,9,1,13,0.5217391304347826
255,9,1,15,0.4782608695652174
256,9,1,17,0.4782608695652174
257,9,1,19,0.4782608695652174
258,9,1,21,0.5217391304347826
259,9,1,23,0.5217391304347826
260,9,1,25,0.5652173913043478
261,9,1,27,0.5217391304347826
262,9,1,29,0.6521739130434783
263,9,1,31,0.6086956521739131
264,9,1,33,0.6521739130434783
265,9,1,35,0.5652173913043478
266,9,2,9,0.43478260869565216
267,9,2,11,0.4782608695652174
268,9,2,13,0.4782608695652174
269,9,2,15,0.4782608695652174
270,9,2,17,0.5652173913043478
271,9,2,19,0.6086956521739131
272,9,2,21,0.5652173913043478
273,9,2,23,0.5652173913043478
274,9,2,25,0.5652173913043478
275,9,2,27,0.5652173913043478
276,9,2,29,0.5217391304347826
277,9,2,31,0.5217391304347826
278,9,2,33,0.6086956521739131
279,9,2,35,0.6086956521739131
